,bladder,lymph_node,muscle,salivary_gland,spleen,testis,adipocyte,artery,bone,esophagus,skin,stomach,kidney,liver,nerve,lung,heart,bowel,brain,pancreas,pleurae,thyroid,vein
hsa-miR-141-3p,543.8915623,6270.248909,94.13542751,27020.05902,204.490342,128.1323972,1661.341168,65.14397263,455.9482421,3124.909787,9016.359517,5464.665025,1583.722233,244.7364767,138.2022146,4548.709261,87.20726645,3904.028391,990.3315368,26020.55896,588.6861491,7000.109736,99.63040062
hsa-miR-183-5p,21.05342765,125.6837255,25.54238592,280.2045439,44.6905985,19.12922867,64.82851848,55.02938943,100.3131998,115.1879129,164.2789728,80.80084472,122.630635,44.00238361,51.35437808,138.232225,30.62973588,46.59303388,141.4035032,403.0047775,56.08396849,108.2201689,149.0183991
hsa-miR-200c-3p,904.6077047,2966.728514,110.1281412,36235.46715,160.6031581,179.1405708,2324.761608,69.64074748,369.4998914,6124.47526,16372.51664,1997.292641,1864.087765,229.4687482,158.6467356,5755.875049,123.7143423,4375.9548,1000.538164,32903.22098,261.7478454,5729.915775,82.74332963
hsa-miR-27a-5p,0.603449141,2.692279146,3.597577854,1.729624791,1.867484254,0.721332498,4.767432206,1.389142386,1.12361168,1.956247616,17.76055104,1.163105188,0.788555388,0.680759687,1.334938258,6.135992184,1.755788557,1.23205533,0.233266934,1.050747659,1.366768048,0.503847217,1.21368108
hsa-miR-34c-5p,10.1088461,70.68695296,17.71473865,25.32757216,18.91821477,727.3640829,25.9319665,9.281831504,12.25492622,152.5296106,28.67034424,28.67294979,14.49993285,39.77176063,58.22880489,800.3753251,26.89148263,21.15454631,281.7710502,40.65271846,47.09420495,29.58270615,7.411905382
hsa-miR-511-5p,2.877170238,2.433888796,2.856122205,2.201101808,3.289786419,3.342088632,7.50938411,3.821382143,3.561786319,2.743652245,13.914194,4.159860561,1.863603425,7.351240651,3.82803709,15.08856887,3.889884558,3.06628282,0.831531329,1.512424622,8.971955101,3.040836496,6.511017875
hsa-miR-199b-5p,703.8533311,656.7695106,545.1581712,467.6231593,21.1982063,94.64295182,659.7173347,193.1083456,341.3174494,688.0476904,1536.639914,315.6279681,48.21484932,80.50099779,448.5149982,412.74594,525.6566093,420.9718456,16.44614847,209.4614624,694.882425,298.0357692,457.0780072
hsa-miR-1246,5.117245086,91.59582467,43.77968039,1.664267133,250.2446631,19.11305521,111.1069347,21.2626761,369.0513108,15.62954139,220.1733316,72.92559893,96.98581669,70.93509398,20.77439855,168.7430161,17.60530283,1521.071574,8.607146499,77.30016095,181.7685117,62.17034607,39.93401617
hsa-miR-1908-3p,0.113508168,0.168571283,0.069886425,0.022024573,0.289103128,0.110460417,0.33855403,0.065415187,0.182420761,0.097575377,0.067068261,0.172377618,0.373275411,2.567025205,0.106206838,0.182388242,0.080324756,1.564104414,0.091656141,2.29444359,0.150291875,0.439361614,0.079789699
hsa-miR-3934-5p,0.059873486,1.383907018,0.192586579,0.207056597,2.062105924,0.848246765,0.607712709,0.167479462,0.572800564,0.545612596,0.608578188,0.525736456,1.02195244,0.664595785,0.340261837,0.902653162,0.601849143,1.941150749,0.257562172,0.557199926,0.541454448,0.698162055,0.182002114
hsa-miR-4466,0.143712157,1.192618011,0.30257243,0.077248594,0.334015695,0.151516089,0.416467173,0.11371028,0.608556044,0.401474639,0.041275695,0.194231326,0.777673983,1.25279983,0.070944934,0.375063618,0.142403568,1.624179378,0.093211396,0.909516601,0.371309667,0.258937347,0.117061766
hsa-miR-1197,0.181516163,0,0.133515075,0.118570359,0.307353956,0.210846065,0.168852445,0.053702411,0.024216009,0.193108462,0.217939881,0.420441352,0.291277891,0.224502078,1.576465993,0.050938118,0.076311784,0.245323088,4.06554096,0.152140273,0.074290661,0.081683682,0.092050792
hsa-miR-1229-3p,0.162273857,0.087909957,0.040900052,0.222519459,0.213302881,0.196707557,0.379415945,0.359446434,0.287300737,0.261102264,0.102417894,0.269682578,0.212840085,0.257517879,0.217806258,0.251999742,0.219233757,0.165154205,1.167136166,0.115356379,0.326821044,0.229279472,0.223382294
hsa-miR-1249-3p,34.45506016,24.51040833,35.43915572,17.84346274,12.42132036,25.70311922,16.65490973,11.95811605,16.55235681,15.40519635,44.82342763,9.892845358,7.435204677,17.81803163,46.8476564,11.17615868,8.128151569,9.68671056,124.0937853,10.96084635,15.0143163,9.546710028,12.82119094
hsa-miR-1250-5p,0.218493449,0.492017518,0.180772279,0.078418313,1.412589502,0.592056554,0.405498361,0.322172363,0.548862223,0.543059233,0.337173674,0.981188739,0.401936364,0.200351816,3.957914759,0.50515174,0.875041746,0.381006493,10.18762057,2.355937164,0.410675338,0.492022556,0.293376603
hsa-miR-127-3p,284.0870705,202.7970773,768.7702793,717.5395457,660.7231538,1199.280722,260.9288521,500.7509508,208.6637375,325.4398673,386.3740199,639.7295849,395.0666719,297.8126432,665.1436547,371.7117796,427.5939351,408.860918,2664.493862,682.0374072,393.6985315,257.6532058,257.8105129
hsa-miR-127-5p,4.915926434,2.686846712,8.169338959,7.107216885,7.625952642,16.13560127,3.858550566,5.880233939,2.005220447,4.051908578,6.077050174,7.43357695,5.437726853,3.764496468,6.706779371,3.338813494,5.053062065,5.165281883,34.41249241,6.870144008,5.648970901,3.084438215,3.097828015
hsa-miR-128-1-5p,0.363420703,0.21851521,0.656661076,0.176912649,0.229967166,1.628261574,0.402198647,0.523214017,0.263579055,0.171491795,0.56964789,0.410301696,0.295457568,0.348554624,0.680643848,0.317786879,0.476331202,0.329828211,8.373792453,0.69994102,0.340797537,0.408004742,0.269954129
hsa-miR-128-3p,43.46106823,43.86721868,365.1145051,32.40673667,155.6649182,65.44484678,40.03742858,94.46597394,90.9030929,73.47099709,36.98629305,99.9426391,47.34284745,46.02387035,58.55107852,27.89849273,38.61489425,48.79272415,1206.780261,35.89084494,83.71661845,54.35544868,37.46811365
hsa-miR-129-5p,2.839861251,2.140843696,2.943195583,1.331034285,35.31895638,393.0433245,4.227964144,5.587964203,2.219207295,9.213634393,8.516089561,29.30769096,11.61676133,5.440473328,52.9054149,2.89047651,3.699896468,15.54746561,543.3885436,42.04727706,4.565175893,6.456466119,3.131072361
hsa-miR-1296-5p,5.002439097,1.984714022,7.293044007,5.471273632,4.924511556,2.343556191,1.93312564,2.810015746,2.609391648,3.389456342,2.010544756,3.991224362,2.343822071,1.973557247,4.332959927,1.22631209,3.053231932,3.249021962,18.89386224,1.843084335,2.702491855,2.354313313,2.77417148
hsa-miR-132-5p,2.897067345,2.488867014,2.269500387,3.514236794,1.940947242,4.733323531,3.315334233,1.689533173,1.555013862,3.245394483,3.042408312,3.789221919,3.942363954,1.603673286,3.691317645,2.556568611,2.554418897,4.255706194,27.34183794,2.555767513,2.248153328,1.866268864,1.129670471
hsa-miR-134-5p,15.7440898,13.48468971,21.42046265,33.42786937,47.19566759,143.3729711,25.2262827,34.83157125,12.35936117,16.81382712,36.88689814,26.2687754,28.6220468,20.50678919,31.31833805,23.47243936,27.41571675,18.51527556,154.9909836,58.8534092,34.68591461,14.30360951,32.2117953
hsa-miR-136-5p,539.4699027,297.1408744,1062.55098,2428.147352,1519.263906,1790.653034,298.8249122,607.7653223,307.5315117,506.924543,745.98477,678.4587208,456.0490906,527.1286118,759.4668813,419.321181,418.0122748,506.1255113,2863.414614,1118.190406,421.8293701,280.26997,274.9597109
